,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Visite virtuelle,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Salles de douche,Toilettes,Cave,Grenier,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Largeur de la façade à rue,Type d’environnement,Surface de la chambre 4,Surface de l'espace professionnel,Largeur du terrain à rue,Terrasse,Type de zone inondable,Site internet,Surface de bureau,Bureau,Surface du grenier,Surface constructible totale au sol,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Quartier ou lieu-dit,Salle à manger,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Piscine,Dressing,Buanderie,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Orientation du jardin,Orientation de la terrasse,Concierge,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Disponible le,Jardin,Attestation as-built,Surface de la cave,Attestation de conformité des citernes à mazout,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente,Obligation de construire,Combien de feux ouverts ?,Isolé,Nombre d'annexes,Surface de la chambre 5,Nom du bien,Salon,Informations supplémentaires,Référence externe,Niveau E (performance énergétique globale),Charges mensuelles
103,Après la signature de l’acte,1899,À restaurer,3,1,,,108 m²,2942 m²,Pas équipée,10 m²,3,7 m²,17 m²,14 m²,1,,1,,,Non,156 m²,Connecté,Non,35 m²,,569 kWh/m²,G,20210710001090,182 kg CO₂/m²,71817 kWh/an,Charbon,,Faire offre à partir de 149.000 €,446 €,Non,"Chaussée Napoléon 3
4500 - Huy",22 m,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,4400555,,,70 m²,70 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70 m²,,,,,,,,,,,,,,,,,,,,
104,,1831,À rénover,3,1,1,,165 m²,20 m²,Équipée,19 m²,4,9 m²,12 m²,17 m²,1,,2,,,Non,265 m²,Connecté,Oui,,25 m²,620 kWh/m²,G,20210825010032,Non communiqué,Non communiqué,Gaz,Oui,149.000 €,669 €,,"44, Place Albert 1er
6061 - Montignies-sur-Sambre",11 m,"Zone d'habitat (résidentiel, urbain ou rural)",26 m²,,11 m,,,,,Oui,50 m²,,,,,,,,,,,,,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,30 m²,,,,,,,,,,,,,,,,,,,,
105,Après la signature de l’acte,1956,Bon,2,,,,94 m²,26 m²,Semi-équipée,8 m²,2,16 m²,11 m²,,1,1,1,Oui,Oui,Non,144 m²,Connecté,Oui,,50 m²,440 kWh/m²,F,20210610019697,81 kg CO₂/m²,41563 kWh/an,Gaz,Oui,Faire offre à partir de 149.900 €,371 €,Non,"rue de Pont-à-Celles 10
6238 - Luttre",7.1 m,Urbain,,,7.1 m,,Zone non inondable,4383250,6 m²,Oui,,56 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Non,Non,Wallonne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,
106,Après la signature de l’acte,1920,Bon,2,,,,149 m²,14 m²,Équipée,18 m²,2,12 m²,17 m²,,2,1,1,Oui,Oui,Non,620 m²,Connecté,Oui,520 m²,20 m²,368 kWh/m²,E,20170202005218,71 kg CO₂/m²,54730 kWh/an,Gaz,Oui,Faire offre à partir de 149.900 €,277 €,Non,"rue de Pont-à-Celles 10
6238 - Luttre",5 m,Isolé,,,5 m,,Zone non inondable,4508423,,,,149 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Non,Non,Wallonne,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,
107,Après la signature de l’acte,1850,Bon,2,,,,109 m²,24 m²,Équipée,,2,24 m²,10 m²,,1,1,1,,,Non,238 m²,Connecté,Oui,194 m²,26 m²,227 kWh/m²,C,20160525022818,36 kg CO₂/m²,24605 kWh/an,Gaz,Oui,155.000 €,173 €,Non,"Rue Simon 46/2
6990 - Hotton",3.47 m,Urbain,,,3.47 m,,Zone non inondable,4507505,,,,22 m²,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,Non,Non,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Après la signature de l’acte,1850,À rafraîchir,3,,1,,142 m²,43 m²,Semi-équipée,,3,23 m²,14 m²,11 m²,1,1,1,Oui,Oui,Non,446 m²,Connecté,Non,210 m²,10 m²,798 kWh/m²,G,20210828001257,198 kg CO₂/m²,113622 kWh/an,Mazout,Oui,Faire offre à partir de 159.900 €,81 €,Non,"rue de Pont-à-Celles 10
6238 - Luttre",11 m,Pays,,,11 m,,Zone non inondable,4408242,11 m²,Oui,,128 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Non,Non,Wallonne,,Non,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Après la signature de l’acte,1918,À rénover,3,,,,165 m²,,Pas équipée,25 m²,4,25 m²,25 m²,20 m²,1,,2,Oui,,Non,183 m²,,,96 m²,,430 kWh/m²,F,20210425003040,79 kg CO₂/m²,84106 kWh/an,Gaz,Oui,Faire offre à partir de 160.000 €,545 €,Non,"Rue Charles Magnette 24/40
4000 - Liège",5 m,,20 m²,,5 m,,,13898 - 111113973,,,,,,,,,,,,,,,,,,,,,,,,Nord-est,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,84106,
110,Après la signature de l’acte,1966,Bon,3,1,,,150 m²,25 m²,Équipée,9 m²,3,16 m²,11 m²,11 m²,1,,2,,,Non,70 m²,Connecté,Non,70 m²,2 m²,394 kWh/m²,E,20210603001113,99 kg CO₂/m²,54007 kWh/an,Mazout,,Faire offre à partir de 165.000 €,681 €,Non,"Chaussée Napoléon 3
4500 - Huy",8 m,Isolé,,,,,,4431453,10 m²,Oui,1 m²,75 m²,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,Non,,,,,Non,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,2 août 2021 - 00:00,,,10 m²,,,,,,,,,,,,,,,,,,,,
111,Après la signature de l’acte,1899,À rénover,2,,,150 m²,13 m²,Oui,20 m²,4,10 m²,17 m²,10 m²,14 m²,2,,15 m²,,,540 m²,Connecté,Oui,400 m²,Oui,,F,20210608022448,83 kg CO₂/m²,49591 kWh/an,Gaz,78 m²,,445 €,Non,"Rue de l'Yser 425
4430 - Ans",4454715,5 m,"Zone d'habitat (résidentiel, urbain ou rural)",1,,,448 kWh/m²,,,,,Non,Non,Faire offre à partir de 165.000 €,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Pas équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 m²,,,,,,,,,,,,,,,,,,,,
112,Selon le locataire,1950,À rénover,3,1,,,107 m²,33 m²,Équipée,8 m²,3,17 m²,10 m²,16 m²,1,1,2,,Oui,Non,1222 m²,Connecté,Non,1000 m²,,385 kWh/m²,E,20210703000674,95 kg CO₂/m²,55132 kWh/an,Mazout,,Faire offre à partir de 169.000 €,540 €,Non,"Ch.de Wavre 1595
1160 - Auderghem",8.33 m,Pays,,,,,Zone non inondable,4398683,,,,161 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Non,Non,Liège,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Après la signature de l’acte,1918,Bon,2,1,,,144 m²,15 m²,Semi-équipée,20 m²,3,12 m²,12 m²,28 m²,1,,2,,Oui,Non,529 m²,,Non,400 m²,32 m²,418 kWh/m²,E,20141210023341,104 kg CO₂/m²,53566 kWh/an,Mazout,,169.000 €,421 €,Non,"Faubourg d'Arival 16
6760 - Virton",8 m,Isolé,,,8 m,,,4347016,,,,,,,,,,Zone Sud Province du Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Après la signature de l’acte,1874,Bon,3,1,5,,125 m²,18 m²,Équipée,8 m²,3,18 m²,9 m²,17 m²,1,1,2,Oui,Oui,Non,800 m²,Connecté,Oui,600 m²,63 m²,419 kWh/m²,E,20210808000595,77 kg CO₂/m²,52455 kWh/an,Gaz,Oui,Faire offre à partir de 169.900 €,374 €,Non,"rue de Pont-à-Celles 10
6238 - Luttre",4 m,Isolé,,,5.9 m,,Zone non inondable,4445249,,,,50 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Non,Non,Charleroi,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Après la signature de l’acte,1960,À rafraîchir,3,,,126 m²,20 m²,Semi-équipée,22 m²,2,16 m²,15 m²,1,,1,2,12 m²,16 m²,,190 m²,5.22 m,Oui,126 m²,351 kWh/m²,,E,20210810000856,8234 kg CO₂/m²,44953 kWh/an,Gaz,Oui,,272 €,Non,"Place Communale 8
1160 - Auderghem",4416929,5 m,Urbain,,,Connecté,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,Oui,Non,Non,175.000 €,,Non,Non,Bien immobilier situé entièrement ou partiellement dans une zone potentiellement inondable et dans une zone riveraine délimitée,Jodoigne,,,,,,,,,,,,,,,,,,,,,,,,,64 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Après la signature de l’acte,1918,À rénover,3,,,239 m²,29 m²,Semi-équipée,21 m²,4,22 m²,12 m²,13 m²,11 m²,1,1,9 m²,Oui,Non,1250 m²,5.6 m,Non,1050 m²,27 m²,551 kWh/m²,G,20200508005224,4 kg CO₂/m²,114999 kWh/an,Non,121 m²,,504 €,Non,"Place Communale 8
1160 - Auderghem",4294833,5.6 m,Isolé,1,Oui,Connecté,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,8 m²,,Non,175.000 €,,Non,Non,Zone non inondable,Hannut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Électrique,,,,,,,,,,,,,,,,,,,,,
117,Après la signature de l’acte,1940,À rafraîchir,2,,,108 m²,22 m²,Oui,2,,13 m²,12 m²,2,,2,2,Oui,Non,,60 m²,6.5 m,Non,Non,,,G,20200720013570,190 kg CO₂/m²,709 kWh/an,Électrique,Oui,Oui,508 €,Oui,"Place Communale 8
1160 - Auderghem",4086826,6.5 m,Urbain,,,Connecté,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Non,179.000 €,60 m²,Non,Zone non inondable,,Waremme,Semi-équipée,Non,Oui,Non,709 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Après la signature de l’acte,1934,Bon,2,,,,87 m²,,Équipée,10 m²,4,15 m²,15 m²,15 m²,1,,2,,,Non,73 m²,Connecté,Non,60 m²,10 m²,320 kWh/m²,D,20210910008670,79 kg CO₂/m²,42462 kWh/an,Mazout,,179.000 €,500 €,Non,"Rue de l'Yser 425
4430 - Ans",4 m,"Zone d'habitat (résidentiel, urbain ou rural)",15 m²,,,,,4490787,,,,41 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,20 septembre 2021 - 00:00,,,13 m²,,,,,,,,,,,,,,,,,,,,
119,Après la signature de l’acte,1962,Bon,3,1,,,167 m²,31 m²,Équipée,22 m²,3,13 m²,17 m²,13 m²,1,1,1,,,Non,224 m²,Connecté,Non,100 m²,15 m²,493 kWh/m²,F,20201217014685,123 kg CO₂/m²,84634 kWh/an,Mazout,,180.000 €,680 €,Non,"Rue de l'Yser 425
4430 - Ans",15 m,Pays,,,,,,4404100,,,,134 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,,,,,Non,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,26 juillet 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,
120,Après la signature de l’acte,1900,Bon,2,,,,200 m²,21 m²,Équipée,13 m²,5,21 m²,13 m²,13 m²,2,2,2,Oui,,Non,215 m²,Connecté,Oui,122 m²,10 m²,272 kWh/m²,D,201810122004124,50 kg CO₂/m²,26252 kWh/an,Gaz,Oui,180.000 €,862 €,Non,"Grand rue 191
4870 - Trooz",12 m,"Zone d'habitat (résidentiel, urbain ou rural)",15 m²,,12 m,,Zone non inondable,4002170,,,,87 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Grand Liège,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21 m²,,,,,,
121,Après la signature de l’acte,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,"Rue Maréchal Joffre, 26
7387 - Fayt-le-franc",,,,,,,,4333275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Après la signature de l’acte,1899,Bon,3,,,140 m²,30 m²,Semi-équipée,3,,13 m²,13 m²,15 m²,2,1,3,20 m²,,,111 m²,Non connecté,Oui,20 m²,,Non,E,20210602001445,65 kg CO₂/m²,38516 kWh/an,Gaz,Oui,,391 €,Non,"Chaussée Napoléon 3
4500 - Huy",4372623,5 m,Urbain,,,,,,,Oui,13 m²,,,Faire offre à partir de 189.000 €,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Non,Oui,Non,353 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,
123,Après la signature de l’acte,1847,À rénover,3,1,,,265 m²,,Américaine équipée,15 m²,4,14 m²,16 m²,16 m²,2,,2,,,Non,290 m²,Connecté,Non,,28 m²,268 kWh/m²,D,20210303007867,67 kg CO₂/m²,58642 kWh/an,Mazout,Oui,189.000 €,562 €,Non,"Faubourg d'Arival 16
6760 - Virton",14.73 m,Urbain,13 m²,,14.4 m,,,4383307,16 m²,Oui,82 m²,,,,,,,Zone Sud Province du Luxembourg,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 m²,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,"Chemin des Espagnols 236
6700 - Arlon",,,,,,,,4420421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 mai 2022 - 00:00,,,,,,,,,,,,,,,,,,,,,,,
125,Selon le locataire,1949,Bon,2,,,,156 m²,20 m²,Équipée,8 m²,4,20 m²,14 m²,28 m²,1,,2,Oui,Oui,Non,187 m²,Connecté,Oui,80 m²,20 m²,483 kWh/m²,E,20130124-0001296063-00000016-9,9999 kg CO₂/m²,Non communiqué,Gaz,Oui,189.000 €,416 €,Non,"Stationstraat 30
9600 - Ronse",6 m,Urbain,10 m²,,6 m,,Zone non inondable,,,,,75 m²,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,1 juin 2022 - 00:00,,,,,,,,,,,,,,,,,,,,,4445007,,
126,Selon le locataire,1915,Fraîchement rénové,2,,,,162 m²,20 m²,Hyper équipée,10 m²,3,12 m²,8 m²,8 m²,1,,1,,Oui,Non,94 m²,Connecté,Oui,,20 m²,192 kWh/m²,B,1976628,5743 kg CO₂/m²,Non communiqué,Gaz,Oui,189.990 €,262 €,Non,"Stationstraat 30
9600 - Ronse",4 m,Urbain,,,4 m,,Zone non inondable,,,,,70 m²,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oui, conforme",,,,,,,,,,,,,,,,,,,4514488,,
127,Après la signature de l’acte,1919,Bon,2,,,,179 m²,,Semi-équipée,16 m²,4,15 m²,17 m²,15 m²,2,2,3,,Oui,Non,150 m²,Connecté,Non,,14 m²,212 kWh/m²,C,20210626008153,53 kg CO₂/m²,35183 kWh/an,Mazout,Oui,190.000 €,478 €,Non,"Chaussée de Liège 7
6900 - Marche",4.34 m,Isolé,17 m²,,5.2 m,,,4448283,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Non,Non,Zone Centre Province du Luxembourg,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 m²,,,,,,,,,,,,,,,,,,,,
128,Après la signature de l’acte,1918,À rénover,3,,,160 m²,19 m²,Oui,11 m²,3,22 m²,18 m²,16 m²,1,2,,29 m²,,,250 m²,Non connecté,Oui,25 m²,,Non,G,20210522002178,Non communiqué,Non communiqué,Gaz,86 m²,,515 €,Non,"Chaussée Napoléon 3
4500 - Huy",4359766,8.97 m,Urbain,,,,,,,,,Non,Non,195.000 €,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Semi-équipée,Non,Oui,,552 kWh/m²,,,,,,,,,,,,Non,,,,,,,,,,,,,,58 m²,,,,,,,,,,,,,,,,,,,,
129,À définir,1950,Fraîchement rénové,4,,,128 m²,14 m²,Oui,10 m²,2,14 m²,12 m²,1,,1,1,Oui,Oui,Non,905 m²,18 m,Oui,555 m²,26 m²,367 kWh/m²,E,20210915010324,67 kg CO₂/m²,40205 kWh/an,Gaz,Oui,100 m²,424 €,Non,"Rue de la Wallonie 2A
4680 - Oupeye",4507797,9 m,Isolé,,,Connecté,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Non,Faire offre à partir de 199.000 €,,Non,Non,Zone non inondable,Liège environs,Équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,1 décembre 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,
130,Après la signature de l’acte,1898,Bon,4,,1,185 m²,28 m²,Semi-équipée,18 m²,4,25 m²,14 m²,13 m²,14 m²,2,,26 m²,,,349 m²,8.6 m,Non,253 m²,Oui,,E,20210531017569,98 kg CO₂/m²,90047 kWh/an,Mazout,Oui,96 m²,521 €,Non,"Place Communale 8
1160 - Auderghem",4282000,8.06 m,Pays,1,,Connecté,394 kWh/m²,,,Oui,12 m²,Non,Non,199.000 €,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29 m²,,,,,,,,,,,,,,,,,,,,
131,Après la signature de l’acte,1920,Fraîchement rénové,2,,,,148 m²,26 m²,Équipée,13 m²,3,9 m²,16 m²,,1,1,1,Oui,Oui,Non,218 m²,Connecté,Oui,150 m²,12 m²,323 kWh/m²,D,20210330025374,81 kg CO₂/m²,47757 kWh/an,Mazout,,Faire offre à partir de 199.000 €,342 €,Non,"rue de Pont-à-Celles 10
6238 - Luttre",5 m,Urbain,,,5 m,,Zone non inondable,4411615,6 m²,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Non,Non,Wallonne,,Non,Non,Oui,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Après la signature de l’acte,1920,Bon,2,,,,158 m²,37 m²,Équipée,,2,8 m²,12 m²,,1,1,2,Oui,Oui,Non,380 m²,Connecté,Oui,290 m²,30 m²,263 kWh/m²,D,20210423021635,48 kg CO₂/m²,41486 kWh/an,Gaz,Oui,Faire offre à partir de 199.900 €,666 €,Non,"rue de Pont-à-Celles 10
6238 - Luttre",5.5 m,Isolé,,,5.5 m,,Zone non inondable,4382085,40 m²,Oui,,70 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Non,Non,Wallonne,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 décembre 2021 - 00:00,,Non,,,,,,,,,,,,,,,,,,,,,
133,Après la signature de l’acte,1899,Bon,3,,,,181 m²,22 m²,Équipée,13 m²,3,22 m²,19 m²,40 m²,1,1,1,Oui,Oui,Non,520 m²,Connecté,Oui,300 m²,35 m²,423 kWh/m²,E,20210614033333,2 kg CO₂/m²,76565 kWh/an,Pellets,Oui,Faire offre à partir de 199.900 €,356 €,Non,"rue de Pont-à-Celles 10
6238 - Luttre",4.7 m,Isolé,,,6 m,,Zone non inondable,4406262,,,,181 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Non,Non,Wallonne,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,
134,Après la signature de l’acte,1875,À rénover,4,1,1,,90 m²,8 m²,Semi-équipée,10 m²,2,18 m²,12 m²,,1,,2,,,Non,1528 m²,Connecté,Non,1300 m²,50 m²,494 kWh/m²,F,20210907006206,110 kg CO₂/m²,54385 kWh/an,Mazout,,200.000 €,267 €,Non,"Chaussée de Tirlemont 2D
4260 - Braives",15 m,Pays,,,,,,4496111,,,,80 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,,,Hannut et 5 kms,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 m²,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,"La Besace, 14
6850 - Paliseul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,"Boulevard Lalaing 1
7500 - Tournai",,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
