,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Visite virtuelle,Surface habitable,Surface du salon,Salle à manger,Surface de la cuisine,Chambres,Salles de bains,Cave,Meublé,Porte blindée,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Niveau E (performance énergétique globale),Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,À partir de,Quartier ou lieu-dit,Type de cuisine,Toilettes,Surface de bureau,Bureau,Accessible aux personnes avec un handicap,Interphone vidéo,Attestation as-built,Adresse,Référence externe,Combien de feux ouverts ?,Dressing,Surface de la cave,Grenier,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Terrasse,Concierge,Ascenseur,Parlophone,Accès sécurisé / alarme,Piscine,Attestation de conformité des citernes à mazout,Site internet,Parkings intérieurs,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Surface de l'espace professionnel,Largeur du terrain à rue,Permis de bâtir obtenu,Surface constructible totale au sol,Disponible le,Type d’environnement,Salles de douche,Surface du jardin,Parkings extérieurs,Salon,Nom du bien,Charges mensuelles,Revenu mensuel actuel,Nom de l'agent,Espace professionnel,Type de construction,Orientation du jardin,Climatisation,Jacuzzi,Sauna,Internet,Buanderie,Jardin,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Pourcentage loué,Description libre du PEB,Obligation de construire,Isolé,Orientation de la terrasse,Informations supplémentaires,Surface du grenier,Nombre d'annexes
31,1899,Fraîchement rénové,,2,,568 m²,,,,3,3,Oui,Non,,196 m²,,,,450 kWh/m²,G,Non communiqué,96 kg CO₂/m²,Non communiqué,,Gaz,,,,,Oui,,,,,,1.200.000 €,2.424 €,Oui,Après la signature de l’acte,Européen,Équipée,5,515 m²,Oui,Oui,Oui,Non,"Rue de Tenbosch 85/117
1050 - Ixelles",1900 - 1883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1900,Bon,9.6 m,2,,1350 m²,,,,,,,Non,Non,490 m²,Connecté,Oui,,434 kWh/m²,G,T20181120-002,134 kg CO₂/m²,Non communiqué,,Mazout,Non,Non,Non,Oui,Non,,,,,,3.200.000 €,13.401 €,Oui,Après la signature de l’acte,Mont des Arts,Équipée,,,Oui,Non,Non,Non,"Avenue Louise 404a
1050 - Ixelles",,1,Non,254 m²,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,6029007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2010,Excellent état,11 m,2,,460 m²,97 m²,Oui,33 m²,5,3,,Non,,175 m²,Connecté,Oui,,143 kWh/m²,C,20170629-00000507532-01-6,28 kg CO₂/m²,Non communiqué,,Gaz,,,Oui,,Oui,Oui,Non,Non,Zone non inondable,Zone d'habitat mixte (habitat & activité économique),510.000 €,654 €,Oui,Après la signature de l’acte,,Américaine hyper-équipée,2,55 m²,Oui,Non,,,"Rue des Sablons 11 b02
1000 - Bruxelles",4457472,,,156 m²,,,,,,,,Non,Oui,,Non,,,1,31 m²,18 m²,41 m²,27 m²,28 m²,200 m²,11 m,Oui,460 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1920,Bon,,2,,300 m²,,,,5,4,Oui,Non,,152 m²,,,,356 kWh/m²,G,Non communiqué,112 kg CO₂/m²,Non communiqué,,Gaz,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",1.095.000 €,,Oui,Après la signature de l’acte,,Hyper équipée,4,,,Non,,,"Bld. Brand Whitlock 108
1200 - Woluwe-Saint-Lambert",4517847,,,,,,,,,Oui,,Non,Oui,,Non,,,,14 m²,16 m²,16 m²,14 m²,12 m²,,,,,1 décembre 2021 - 00:00,"Zone d'habitat (résidentiel, urbain ou rural)",1,60 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1918,À rafraîchir,12 m,2,360 m²,12 m²,Oui,38 m²,6,3,Oui,Non,Non,189 m²,Connecté,Oui,12 m²,74980 kWh/m²,G,20210531-0000589795-01-0,44 kg CO₂/m²,Non communiqué,74980,Gaz,Non,Non,Non,Non,Oui,Non,Non,Non,Zone non inondable,Autre type de zone,1.350.000 €,1.963 €,Non,"Rue Archimède 17
1000 - Bruxelles ville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2012,Excellent état,,3,,450 m²,60 m²,,,5,5,,,,251 m²,,,,95 kWh/m²,B,201111210000032625,20 kg CO₂/m²,Non communiqué,,Gaz,,,,,,,,,Zone non inondable,,4.600.000 €,,Non,Après la signature de l’acte,Bruxelles Sud et Centre,Hyper équipée,6,,,Oui,,,"Avenue Louise 200
1050 - Bruxelles",,,,,,,,,,Oui,,Oui,,Oui,Oui,,4392998,1,40 m²,16 m²,16 m²,16 m²,,,,,,21 juin 2018 - 00:00,"Zone d'habitat (résidentiel, urbain ou rural)",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2012,Bon,5.9 m,2,258 m²,Équipée,,,,2,Oui,,Oui,Non,6.5 m,Non,198 m²,Non,Non communiqué,Non communiqué,39 kg CO₂/m²,Non communiqué,Gaz,,Oui,,,,,62 m²,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,599.000 €,2.839 €,Non,"Place Communale 8
1160 - Auderghem",Après la signature de l’acte,Bruxelles,4,,,Non,Oui,,,4515758,,,,,,,,,,,,Oui,Oui,,Non communiqué,,,1,,,,,,,Connecté,,Non,,Isolé,,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1901,Excellent état,,2,,325 m²,,,,,,,,,99 m²,,,,1070 kWh/m²,G,Non communiqué,215 kg CO₂/m²,Non communiqué,,Gaz,,,,,Oui,,,,,,1.150.000 €,,Oui,Après la signature de l’acte,,,6,,,,,,"Avenue de la chasse 159
1040 - Etterbeek",,,,,,,,,,,,,,,,,4516870,1,,,,,,,,,,,Urbain,6,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
39,1900,À restaurer,,2,635 m²,Oui,,,,1,Oui,635 m²,,,Connecté,Oui,Oui,,F,001044319,80 kg CO₂/m²,Non communiqué,Gaz,,Oui,,,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.950.000 €,Non,,"Place Communale 8
1160 - Auderghem",Après la signature de l’acte,Bruxelles,3,,,Oui,Oui,Non,,4498919,,,,,,,,,,Oui,,Non,Oui,,325 kWh/m²,,,,,,,,,,,635 m²,Oui,11 mai 2021 - 00:00,Urbain,,,,Équipée,,,,,,,,,,,,,,,,,,,,,,,,,
40,1985,Bon,,4,,550 m²,,,,3,2,Oui,Non,Oui,1961 m²,Connecté,Non,,465 kWh/m²,G,2O160302-O000~2~O2O10,131 kg CO₂/m²,Non communiqué,,Mazout,Non,Non,Non,Non,Non,Non,Non,Non,,,4.000.000 €,,Non,Après la signature de l’acte,,Équipée,,,Oui,Non,Non,Non,"Avenue Louise 404a
1050 - Ixelles",,1,Non,,,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,"Oui, pas conforme",4477224,1,,,,,,,,,550 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,À restaurer,,2,,160 m²,,,,5,,Oui,Non,,125 m²,,Oui,,596 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,,Mazout,,,,,,,,,,,410.000 €,939 €,Non,Après la signature de l’acte,,Semi-équipée,1,,,,,Non,"Blvd. G. Wahis 272 (place Meiser)
1030 - Schaerbeek",,,,,,,,,,,,,,,,,4244 - 2145,,,,,,,,5.7 m,,,,,,45 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1876,Excellent état,5.5 m,2,283 m²,32 m²,Oui,Hyper équipée,5,16 m²,2,Oui,76 m²,,Connecté,Oui,10 m²,Non,D,Non communiqué,40 kg CO₂/m²,Non communiqué,Gaz,,850.000 €,,,,,,,,,,,1.754 €,Non,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",Après la signature de l’acte,,15 m²,24 m²,Oui,Oui,Oui,,,4530169,,,,,Non,,,,,,,Non,Non,,201 kWh/m²,,,,15 m²,15 m²,12 m²,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1920,Bon,,2,,355 m²,,,,5,5,,Oui,,,Connecté,Oui,12 m²,426 kWh/m²,G,20170617-00000506598-01-3,85 kg CO₂/m²,Non communiqué,,Gaz,,,,,,,,,Zone non inondable,,799.000 €,1.103 €,Oui,Immédiatement,Bruxelles,Américaine équipée,5,,,,,,"Av. de Tervueren, 37
1040 - Etterbeek",,,,,,,,,,,,,,,,,4324196,,5 m²,18 m²,18 m²,16 m²,,,,,,,Urbain,2,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
44,1899,À rafraîchir,7.3 m,2,,550 m²,,,,6,6,,Non,,249 m²,Connecté,Oui,50 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,,,Non,,Zone non inondable,,1.295.000 €,,Oui,Selon le locataire,Bruxelles-Sud,,5,,,Non,,,"Avenue des aubépines 32
1180 - Uccle",4431484,,,,Oui,,,,,,,Non,Oui,,Non,,,,22 m²,18 m²,20 m²,20 m²,10 m²,,7.3 m,Oui,550 m²,1 février 2022 - 00:00,Isolé,6,110 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1900,Excellent état,5.55 m,2,,320 m²,65 m²,Oui,41 m²,5,3,Oui,Non,,84 m²,Connecté,Oui,26 m²,293 kWh/m²,F,20200625-000057047-01-49,58 kg CO₂/m²,Non communiqué,,Gaz,,,,,Oui,,,,,,1.095.000 €,2.542 €,Non,Immédiatement,,Américaine hyper-équipée,4,,Oui,Non,,,"Place Georges Brugmann, 11
1050 - Ixelles",,,,,,,,,,,,Non,Oui,Oui,Non,,4527998,1,21 m²,21 m²,18 m²,17 m²,12 m²,,5.55 m,,75 m²,31 août 2020 - 00:00,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,Excellent état,,2,,120 m²,,,,1,1,,Non,,35 m²,Connecté,Oui,10 m²,245 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,,,,,,,520.000 €,,Oui,Selon le locataire,Bruxelles sud/centre,Hyper équipée,1,,,Non,,,"Rue François Desmedt 56
1150 - Woluwé St Pierre",,,,,,,,,,,Oui,Non,,,Oui,,4372024,,15 m²,,,,,,,,,19 mars 2021 - 00:00,Urbain,1,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
47,1900,Bon,6 m,2,,250 m²,,,,4,,,Oui,Non,,Connecté,Non,,445 kWh/m²,G,20141124-0000259308-01-2,91 kg CO₂/m²,Non communiqué,,Gaz,Non,Non,Non,Non,Oui,Non,Non,Non,,,700.000 €,1.285 €,Oui,Selon le locataire,,,,,Non,Non,Non,"Oui, conforme","Square Marie Louise, 76
1000 - Bruxelles ville",,,Non,50 m²,,Non,Non,Non,Oui,,Non,Non,Oui,Non,Non,Non,6069242,,35 m²,35 m²,35 m²,25 m²,,,,,250 m²,,,,,,,DUQUESNOY,1 €,4500,,,,,,,,,,,,,,,,,,,,,,
48,,À rafraîchir,,2,,300 m²,,,,3,3,,Non,,40 m²,,,30 m²,438 kWh/m²,G,Non communiqué,88 kg CO₂/m²,Non communiqué,,Gaz,,,,,,,,,,,895.000 €,,Oui,Après la signature de l’acte,,Américaine semi-équipée,4,,,,,,"Rue François Desmedt 56
1150 - Woluwé St Pierre",,,,,,,,,,,,,,,,,4455018,,16 m²,16 m²,16 m²,,,,,,,,Urbain,3,50 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1918,À rafraîchir,,2,328 m²,Oui,,25 m²,4,3,9 m²,,Non,127 m²,Connecté,Oui,38 m²,Non communiqué,Non communiqué,20180614-0000529938-01-9,38 kg CO₂/m²,Non communiqué,Gaz,,Non,Non,Non,Non,Oui,Non,Non,Non,Zone non inondable,Autre type de zone,800.000 €,1.742 €,Non,"Place du Châtelain 35
1050 - Ixelles",,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,1 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1903,Excellent état,6 m,2,,263 m²,18 m²,Oui,18 m²,4,2,Oui,Non,,146 m²,Connecté,Oui,12 m²,289 kWh/m²,F,20210511-0000588564-01-3,57 kg CO₂/m²,Non communiqué,,Gaz,,,,,Oui,,,,,,945.000 €,1.615 €,Non,Après la signature de l’acte,,Américaine hyper-équipée,3,16 m²,Oui,Non,,,"Rue Belliard 200
1000 - Bruxelles",,,,,Oui,,,,,,,Non,Oui,Oui,Non,,4406643,,25 m²,18 m²,15 m²,14 m²,,16 m²,,,20 m²,23 mai 2021 - 00:00,,2,60 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1905,Bon,7 m,2,,370 m²,,,,7,6,Oui,Oui,,120 m²,Connecté,Oui,,274 kWh/m²,E,E,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,Non,Zone non inondable,,1.180.000 €,1.460 €,Oui,Après la signature de l’acte,,Américaine équipée,6,,,,,,"Av. du Prince de Ligne, 18
1180 - Uccle",,,,,,,,,,Oui,,Non,Oui,Oui,,,4456209,,26 m²,18 m²,18 m²,17 m²,11 m²,,,,405 m²,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1900,Bon,7 m,2,,430 m²,50 m²,,10 m²,4,2,Oui,Non,Oui,317 m²,Connecté,Oui,15 m²,307 kWh/m²,F,20190510-0000549185-01-1,61 kg CO₂/m²,Non communiqué,,Gaz,,,,,Oui,,,,,,1.295.000 €,2.669 €,Oui,Immédiatement,,Hyper équipée,4,110 m²,Oui,Non,Oui,,"Rue Belliard 200
1000 - Bruxelles",,,,,,,,,,,,Non,Oui,Oui,Non,,4364061,1,20 m²,20 m²,15 m²,13 m²,,110 m²,,,15 m²,2 juin 2020 - 00:00,,2,200 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1900,Bon,9 m,2,,1038 m²,,,,,,,Non,,490 m²,,Oui,,483 kWh/m²,G,T20181120-00,134 kg CO₂/m²,Non communiqué,,Mazout,,,,,,,,,,,3.200.000 €,13.401 €,Oui,Après la signature de l’acte,,Équipée,8,,,,,,"Avenue Louise 200
1050 - Bruxelles",,,,,,,,,,Oui,,,,,,,4508690,,,,,,,,,,,,,,12 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
54,1906,Bon,,2,,269 m²,,,,6,,,Non,,72 m²,,,,284 kWh/m²,F,20211005-0000596925-01-8,72 kg CO₂/m²,Non communiqué,,Gaz,Non,Non,Non,,Non,,,,,,468.000 €,1.051 €,Non,Après la signature de l’acte,,Équipée,3,,,,,Non,"Av Fr Roosevelt 244/15
1050 - Ixelles",,,,,,,,,,,,,,,,,Kevin Pinto Macedo,,,,,,,,,,,,,3,,,Oui,,,,B9512,,,,,,,,,,,,,,,,,,,,,
55,1899,,7 m,2,509 m²,21 m²,Oui,28 m²,5,5,31 m²,,Non,128 kWh/m²,Connecté,Oui,200 m²,Oui,C,20201102-0000577612-01-2,25 kg CO₂/m²,Non communiqué,128,Gaz,Non,Non,Non,Non,Oui,Non,Non,Non,Zone non inondable,Autre type de zone,2.285.000 €,Non,,"Place du Châtelain 35
1050 - Ixelles",Après la signature de l’acte,,,,Oui,Oui,Oui,,,,,,,Non,,,,,,,,Non,,Non,,,,,,,,,,,,,,,,,8 m²,,,,,,,19 m²,,,,,,,,,,,,,,,,,,,,
56,1874,Bon,7 m,2,,423 m²,,,,4,3,Oui,Non,,218 m²,Connecté,Oui,,631 kWh/m²,G,20200703-0000571086-01-1,236 kg CO₂/m²,Non communiqué,,Gaz,,,,,Oui,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.090.000 €,,Oui,Après la signature de l’acte,,Américaine hyper-équipée,5,5 m²,Oui,Non,,,"Rue Belliard 200
1000 - Bruxelles",,,,,,,,,,,,Non,Oui,,Non,,4347563,,15 m²,13 m²,13 m²,12 m²,,,,,,5 novembre 2020 - 00:00,,3,76 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
57,1930,Excellent état,,2,,335 m²,,,,6,4,Oui,Non,,132 m²,Connecté,Oui,,144 kWh/m²,C,Non communiqué,31 kg CO₂/m²,Non communiqué,,Gaz,,,,,Oui,,,,,,1.100.000 €,2.034 €,Non,Après la signature de l’acte,,Hyper équipée,5,,Oui,Non,Oui,,"Avenue de Tervuren 113
1040 - Etterbeek",4500212,,,,,,,,,Oui,,Non,,Oui,Non,,,,27 m²,23 m²,23 m²,14 m²,13 m²,26 m²,,,350 m²,3 janvier 2022 - 00:00,,4,50 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
58,1925,Excellent état,6 m,2,,380 m²,,,,7,4,,Non,,190 m²,Connecté,Oui,5 m²,274 kWh/m²,E,Non communiqué,59 kg CO₂/m²,Non communiqué,,Gaz,,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.295.000 €,,Oui,Après la signature de l’acte,,Équipée,5,,,Non,,Non,"Avenue de Tervuren 113
1040 - Etterbeek",4367058,,,,,,,,,,,Non,Oui,,Non,,,1,16 m²,16 m²,15 m²,12 m²,12 m²,,6 m,,400 m²,1 août 2021 - 00:00,,1,90 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1908,Bon,,2,,635 m²,,,,4,1,Oui,Non,,350 m²,Connecté,Oui,15 m²,325 kWh/m²,F,001044319,80 kg CO₂/m²,Non communiqué,,Gaz,,,,,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.950.000 €,2.605 €,Non,Après la signature de l’acte,,Semi-équipée,3,,Oui,Non,,,"Place Georges Brugmann, 11
1050 - Ixelles",,,,,Oui,,,,,,,Non,Oui,Oui,Non,,4399354,,15 m²,15 m²,15 m²,,,,,,,,,1,220 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
60,1918,À rénover,,2,,1500 m²,,,,,,,Oui,Non,233 m²,Non connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Oui,Non,Non,Non,Zone non inondable,Autre type de zone,2.500.000 €,,Oui,,,,,,,Non,,,"Place du Châtelain 35
1050 - Ixelles",,,,,,,,,,,,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,Immeuble à appartements,,,,,,,,,,,,,,,,,,,
61,1918,À rénover,,2,,1500 m²,,,,,,,Oui,Non,233 m²,Non connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Oui,Non,Non,Non,Zone non inondable,Autre type de zone,2.500.000 €,,Non,,,,,,,Non,,,"Place du Châtelain 35
1050 - Ixelles",,,,,,,,,,,,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,Immeuble à appartements,,,,,,,,,,,,,,,,,,,
62,,Excellent état,,2,,200 m²,,,,,2,,Non,Non,94 m²,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Oui,Non,,Non,,Zone non inondable,,685.000 €,,Non,À définir,,Hyper équipée,,,Non,Non,Non,,,,,Non,,,Non,Non,Non,Non,,Non,Non,Oui,Oui,Non,"Oui, conforme",,,,,,,,,,,,,,,30 m²,,,,,,,Non,,Sud,Non,Non,Non,Oui,,,,,,,,,,,,,,
63,1920,Excellent état,,3,,390 m²,,,,5,3,Oui,,,929 m²,Connecté,Oui,40 m²,562 kWh/m²,G,20170606-0000505656-01-3,148 kg CO₂/m²,Non communiqué,,Mazout,,,,,,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",2.275.000 €,4.315 €,Non,Après la signature de l’acte,,,,,Oui,,,,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",,,,,Oui,,,,,,,,,,,,030/27697,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1933,Bon,8 m,2,,650 m²,73 m²,,,4,4,Oui,Non,,395 m²,,,20 m²,190 kWh/m²,D,Non communiqué,38 kg CO₂/m²,Non communiqué,,Gaz,,,,,Oui,,,,,,3.250.000 €,8.085 €,Non,Après la signature de l’acte,,Hyper équipée,6,47 m²,Oui,,Oui,Non,"Rue J. Hazard, 35
1180 - Uccle",,,,,,,,,,,,Oui,,Oui,,,196426 - 111114685,2,,,,,,,,,,,,,150 m²,1,,,,,,,,,,,,,Oui,,,,,,,,,,,,,
65,,,,2,,202 m²,,,,4,4,,Oui,Non,52 m²,Non connecté,Oui,,215 kWh/m²,E,20190124-0000542665-01-9,43 kg CO₂/m²,Non communiqué,215,Gaz,Non,Non,Non,Non,Oui,Non,Non,Non,Zone non inondable,Autre type de zone,895.000 €,1.241 €,Oui,,,,,,,,,,"Rue Archimède 17
1000 - Bruxelles ville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Immeuble à appartements,,,,,,,,,,,,,,,,,,,
66,1927,Bon,,2,,320 m²,,,,9,4,,Non,,89 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,595.000 €,,Oui,,,Équipée,4,,,,,Non,"Rue J. Hazard, 35
1180 - Uccle",,,,,,,,,,,,,,,,,219821 - 111115093,,,,,,,,,,,,,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,À rénover,9.6 m,2,,377 m²,,,,6,3,Oui,Non,,126 m²,Connecté,Oui,,198 kWh/m²,D,20210605-0000590127-01-5,39 kg CO₂/m²,Non communiqué,,Gaz,,,,,Oui,,,,,,795.000 €,2.233 €,Oui,À définir,,Semi-équipée,5,7 m²,Oui,Non,,,"Rue Belliard 200
1000 - Bruxelles",,,,,Oui,,,,,,,Non,Oui,,Non,,4399942,,20 m²,20 m²,16 m²,16 m²,16 m²,,,,,2 juin 2021 - 00:00,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
